Group,N,Prevalence,Prediction Rate,AUROC,Precision,Recall,F1
AfricanAmerican,3765,0.11128818061088977,0.349535192563081,0.6700167050173541,0.18161094224924013,0.5704057279236276,0.2755043227665706
Asian,112,0.14285714285714285,0.25892857142857145,0.76171875,0.3103448275862069,0.5625,0.4
Caucasian,14787,0.11604787989450192,0.35930208967336175,0.6755724830087925,0.18765292678336157,0.581002331002331,0.28368188931569216
Hispanic,417,0.07913669064748201,0.3333333333333333,0.7690183080808081,0.15827338129496402,0.6666666666666666,0.2558139534883721
Other,315,0.10476190476190476,0.29523809523809524,0.6212121212121212,0.17204301075268819,0.48484848484848486,0.25396825396825395
Unknown,472,0.09745762711864407,0.2033898305084746,0.6649316186976933,0.1875,0.391304347826087,0.2535211267605634
